id,title,deity,deity_key,deity_group,type,tradition_region,priority,copyright_status,original_sourced,transliteration_done,meaning_en_done,meaning_hi_done,reviewed,source_url,notes,copyright_risk,author,period,origin_note
A001,Jai Ganesh Deva (Sukhkarta Dukhharta),Ganesha,ganesha,ganesha,Aarti,Pan-India / Maharashtra,1,Public domain (traditional; attrib. Samarth Ramdas 17th c),yes,yes,yes,yes,no,webdunia.com + brahmabhakti.com (2-source cross-check),Marathi aarti; meanings our own; line 15 phanivar/phanivarvandana variant noted,PD-clear,,,
A002,Om Jai Jagdish Hare,Vishnu / universal,vishnu,vishnu,Aarti,Pan-India,1,Public domain (Shardha Ram Phillauri 1870),yes,yes,yes,yes,no,kirtankar.com/aarti-sangrah-marathi/om-jai-jagdish-hare-lyrics,8 verses + tan-man-dhan; aligned to cited source; meanings our own; closing Shyam Sundar doha (lines 62-65) needs wording confirmation,PD-clear,,,
A003,Om Jai Shiv Omkara,Shiva,shiva,shiva,Aarti,Pan-India,1,Public domain (traditional 19th c; colophon Shivanand Swami),yes,yes,yes,yes,no,bhakti.dev + webdunia.com (2-source cross-check),"MULTIPLE RECENSIONS; core (refrain + v1,v2,v4) stable; lines 11,16,17 and verses 6-10 vary - confirm against your sung version; meanings our own",PD-clear,,,
A004,Jai Ambe Gauri,Durga / Ambe,durga,shakti,Aarti,Pan-India,1,Public domain (traditional 19th c; colophon Shivanand Swami),yes,yes,yes,yes,no,bhaktibharat.com + hindibhajanlyrics.co.in (2-source cross-check),12 verses; meanings our own; line 25 mangal/bhairav and line 35 malketu spelling variants noted,PD-clear,,,
A005,Om Jai Lakshmi Mata,Lakshmi,lakshmi,shakti,Aarti,Pan-India,1,Public domain (traditional 19th c),yes,yes,yes,yes,no,drikpanchang + bhaktibharat (2-source cross-check),meanings our own; verse 4 wording varies between sources,PD-clear,,,
A006,Jai Saraswati Mata,Saraswati,saraswati,shakti,Aarti,Pan-India,1,Public domain (anonymous traditional),yes,yes,yes,yes,no,drikpanchang + webdunia (2-source cross-check),meanings our own; line 11 (Manthara) is an obscure/variant reading - review,PD-clear,,,
A007,Aarti Kije Hanuman Lala Ki,Hanuman,hanuman,hanuman,Aarti,Pan-India,1,Public domain (attrib. Tulsidas / traditional),yes,yes,yes,yes,no,bhaktibharat + hanumanchalisahindi (2-source cross-check),meanings our own; line 16 variant and closing couplet (31) noted,PD-clear,,,
A008,Aarti Kunj Bihari Ki,Krishna,krishna,vishnu,Aarti,Pan-India / Braj,1,Public domain (attrib. Dhruvdas ~16-17th c),yes,yes,yes,yes,no,bhaktibharat + bhajanaarti (2-source cross-check),meanings our own; verses 3-4 from standard recension (2nd source had a corrupted variant),PD-clear,,,
A009,Shri Ram Aarti (Aarti Shri Ramayan Ji Ki),Rama,rama,vishnu,Aarti,Pan-India,1,Public domain (attrib. Tulsidas ~16-17th c),yes,yes,yes,yes,no,bhaktibharat + hinduismfaq (2-source cross-check),Awadhi text; meanings our own; line 19 mukti/bhagati variant noted,PD-clear,,,
A010,Jai Santoshi Mata,Santoshi Mata,santoshi,shakti,Aarti,Pan-India,1,Verify (1975 Bollywood film; lyricist Kavi Pradeep d.1998; composer C. Arjun; rights run to at least 2035),no,no,no,no,no,en.wikipedia.org/wiki/Jai_Santoshi_Maa,REVIEW-recent: aarti has no pre-1975 traditional existence; do not source lyrics until cleared,REVIEW-recent,,,
