aarti_id,line_no,section,original,translit_roman,meaning_en,meaning_hi,meaning_mr,meaning_gu,meaning_pa,meaning_bn,meaning_ta,meaning_te,meaning_kn,meaning_ml,notes,original_true_script
C003,1,doha,"जय गणेश गिरिजा सुवन, मंगल मूल सुजान। कहत अयोध्यादास तुम, देहु अभय वरदान॥","Jaya ganesha Girija suvana, mamgala mula sujana, kahata ayodhyadasa tuma, dehu abhaya varadana.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,2,chaupai,जय गिरिजापति दीनदयाला। सदा करत सन्तन प्रतिपाला॥,"Jaya Girijapati dinadayala, sada karata santana pratipala.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,3,chaupai,भाल चन्द्रमा सोहत नीके। कानन कुण्डल नागफनी के॥,"Bhala chandrama sohata nike, kanana kundala nagaphani ke.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,4,chaupai,अंग गौर शिर गंग बहाये। मुण्डमाल तन छार लगाये॥,"Amga gaura shira gamga bahaye, mundamala tana chara lagaye.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,5,chaupai,वस्त्र खाल बाघम्बर सोहे। छवि को देखि नाग मुनि मोहे॥,"Vastra khala baghambara sohe, chavi ko dekhi naga muni mohe.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,6,chaupai,मैना मातु की हवे दुलारी। बाम अंग सोहत छवि न्यारी॥,"Maina matu ki have dulari, bama amga sohata chavi nyari.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,7,chaupai,कर त्रिशूल सोहत छवि भारी। करत सदा शत्रुन क्षयकारी॥,"Kara trishula sohata chavi bhari, karata sada shatruna kshayakari.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,8,chaupai,नन्दि गणेश सोहैं तहँ कैसे। सागर मध्य कमल हैं जैसे॥,"Nandi ganesha sohaim taha.n kaise, sagara madhya kamala haim jaise.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,9,chaupai,कार्तिक श्याम और गणराऊ। या छवि को कहि जात न काऊ॥,"Kartika shyama aura ganarau, ya chavi ko kahi jata na kau.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,10,chaupai,देवन जबहीं जाय पुकारा। तब ही दुख प्रभु आप निवारा॥,"Devana jabahim jaya pukara, taba hi dukha prabhu apa nivara.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
