aarti_id,line_no,section,original,translit_roman,meaning_en,meaning_hi,meaning_mr,meaning_gu,meaning_pa,meaning_bn,meaning_ta,meaning_te,meaning_kn,meaning_ml,notes,original_true_script
A002,1,refrain,ॐ जय जगदीश हरे,Om jai Jagdish hare,"Om, victory to the Lord of the universe","ॐ, जगत के स्वामी की जय हो","ॐ, जगदीशाचा (विश्वाच्या स्वामीचा) विजय असो","ૐ, જગદીશ (વિશ્વના સ્વામી)નો જય","ਓਮ, ਜਗਦੀਸ਼ (ਸੰਸਾਰ ਦੇ ਸੁਆਮੀ) ਦੀ ਜੈ","ওঁ, জগদীশের (বিশ্বের প্রভুর) জয়","ஓம், அண்டத்தின் அதிபதிக்கு வெற்றி","ఓం, జగదీశునికి (విశ్వ ప్రభువుకు) జయము","ಓಂ, ಜಗದೀಶನಿಗೆ (ವಿಶ್ವದ ಒಡೆಯನಿಗೆ) ಜಯ","ഓം, ജഗദീശന് (പ്രപഞ്ചനാഥന്) വിജയം",,NA
A002,2,refrain,स्वामी जय जगदीश हरे,Swami jai Jagdish hare,"O Master, victory to the Lord of the universe","हे स्वामी, जगत के स्वामी की जय हो","हे स्वामी, जगदीशाचा विजय असो","હે સ્વામી, જગદીશનો જય","ਹੇ ਸੁਆਮੀ, ਜਗਦੀਸ਼ ਦੀ ਜੈ","হে স্বামী, জগদীশের জয়","ஹே ஸ்வாமீ, அண்டத்தின் அதிபதிக்கு வெற்றி","ఓ స్వామీ, జగదీశునికి జయము","ಓ ಸ್ವಾಮೀ, ಜಗದೀಶನಿಗೆ ಜಯ","ഹേ സ്വാമീ, ജഗദീശന് വിജയം",,NA
A002,3,refrain,भक्त जनों के संकट,Bhakt jano ke sankat,The troubles of your devotees,भक्तों के कष्ट,आपल्या भक्तांचे संकट,આપના ભક્તોનાં સંકટ,ਆਪ ਦੇ ਭਗਤਾਂ ਦੇ ਸੰਕਟ,আপনার ভক্তদের সংকট,தங்கள் பக்தர்களின் துன்பங்கள்,మీ భక్తుల కష్టాలు,ತಮ್ಮ ಭಕ್ತರ ಸಂಕಟಗಳು,അങ്ങയുടെ ഭക്തരുടെ കഷ്ടങ്ങൾ,,NA
A002,4,refrain,दास जनों के संकट,Das jano ke sankat,The troubles of your servants,सेवकों के कष्ट,आपल्या सेवकांचे संकट,આપના સેવકોનાં સંકટ,ਆਪ ਦੇ ਸੇਵਕਾਂ ਦੇ ਸੰਕਟ,আপনার সেবকদের সংকট,தங்கள் அடியவர்களின் துன்பங்கள்,మీ సేవకుల కష్టాలు,ತಮ್ಮ ಸೇವಕರ ಸಂಕಟಗಳು,അങ്ങയുടെ സേവകരുടെ കഷ്ടങ്ങൾ,,NA
A002,5,refrain,क्षण में दूर करे,Kshan men door kare,You remove in a moment,आप क्षण भर में दूर कर देते हैं,आपण क्षणात दूर करता,આપ ક્ષણમાં દૂર કરો છો,ਆਪ ਪਲ ਵਿੱਚ ਦੂਰ ਕਰ ਦਿੰਦੇ ਹੋ,আপনি মুহূর্তে দূর করেন,தாங்கள் ஒரு நொடியில் நீக்குகிறீர்,మీరు క్షణంలో తొలగిస్తారు,ತಾವು ಕ್ಷಣದಲ್ಲಿ ದೂರ ಮಾಡುತ್ತೀರಿ,അങ്ങ് നിമിഷത്തിൽ അകറ്റുന്നു,,NA
A002,6,refrain,ॐ जय जगदीश हरे,Om jai Jagdish hare,"Om, victory to the Lord of the universe","ॐ, जगत के स्वामी की जय हो","ॐ, जगदीशाचा (विश्वाच्या स्वामीचा) विजय असो","ૐ, જગદીશ (વિશ્વના સ્વામી)નો જય","ਓਮ, ਜਗਦੀਸ਼ (ਸੰਸਾਰ ਦੇ ਸੁਆਮੀ) ਦੀ ਜੈ","ওঁ, জগদীশের (বিশ্বের প্রভুর) জয়","ஓம், அண்டத்தின் அதிபதிக்கு வெற்றி","ఓం, జగదీశునికి (విశ్వ ప్రభువుకు) జయము","ಓಂ, ಜಗದೀಶನಿಗೆ (ವಿಶ್ವದ ಒಡೆಯನಿಗೆ) ಜಯ","ഓം, ജഗദീശന് (പ്രപഞ്ചനാഥന്) വിജയം",,NA
A002,7,verse 1,जो ध्यावे फल पावे,Jo dhyave phal pave,Whoever meditates on you receives the reward,जो ध्यान करता है वह फल पाता है,जो कोणी आपले ध्यान करतो त्याला फळ मिळते,જે કોઈ આપનું ધ્યાન કરે છે તેને ફળ મળે છે,ਜੋ ਕੋਈ ਆਪ ਦਾ ਧਿਆਨ ਕਰਦਾ ਹੈ ਉਸ ਨੂੰ ਫਲ ਮਿਲਦਾ ਹੈ,যে কেউ আপনার ধ্যান করে সে ফল লাভ করে,தங்களைத் தியானிப்பவர் பலனைப் பெறுகிறார்,మిమ్మల్ని ధ్యానించేవారు ఫలాన్ని పొందుతారు,ತಮ್ಮನ್ನು ಧ್ಯಾನಿಸುವವರು ಫಲವನ್ನು ಪಡೆಯುತ್ತಾರೆ,അങ്ങയെ ധ്യാനിക്കുന്നവർ ഫലം നേടുന്നു,,NA
A002,8,verse 1,दुःख विनशे मन का,Dukh vinashe man ka,The sorrow of the mind is destroyed,मन का दुख नष्ट हो जाता है,मनाचे दुःख नष्ट होते,મનનું દુઃખ નષ્ટ થાય છે,ਮਨ ਦਾ ਦੁੱਖ ਨਸ਼ਟ ਹੋ ਜਾਂਦਾ ਹੈ,মনের দুঃখ বিনষ্ট হয়,மனத்தின் துயரம் அழிகிறது,మనసు దుఃఖం నశిస్తుంది,ಮನಸ್ಸಿನ ದುಃಖ ನಾಶವಾಗುತ್ತದೆ,മനസ്സിന്റെ ദുഃഖം നശിക്കുന്നു,,NA
A002,9,verse 1,स्वामी दुःख विनशे मन का,Swami dukh vinashe man ka,"O Master, the sorrow of the mind is destroyed","हे स्वामी, मन का दुख नष्ट हो जाता है","हे स्वामी, मनाचे दुःख नष्ट होते","હે સ્વામી, મનનું દુઃખ નષ્ટ થાય છે","ਹੇ ਸੁਆਮੀ, ਮਨ ਦਾ ਦੁੱਖ ਨਸ਼ਟ ਹੋ ਜਾਂਦਾ ਹੈ","হে স্বামী, মনের দুঃখ বিনষ্ট হয়","ஹே ஸ்வாமீ, மனத்தின் துயரம் அழிகிறது","ఓ స్వామీ, మనసు దుఃఖం నశిస్తుంది","ಓ ಸ್ವಾಮೀ, ಮನಸ್ಸಿನ ದುಃಖ ನಾಶವಾಗುತ್ತದೆ","ഹേ സ്വാമീ, മനസ്സിന്റെ ദുഃഖം നശിക്കുന്നു",,NA
A002,10,verse 1,सुख संपत्ति घर आवे,Sukh sampati ghar ave,Happiness and prosperity come to the home,सुख और सम्पत्ति घर में आती है,घरात सुख आणि समृद्धी येते,ઘરમાં સુખ અને સમૃદ્ધિ આવે છે,ਘਰ ਵਿੱਚ ਸੁਖ ਅਤੇ ਸਮ੍ਰਿੱਧੀ ਆਉਂਦੀ ਹੈ,গৃহে সুখ ও সমৃদ্ধি আসে,வீட்டில் இன்பமும் செழிப்பும் வருகிறது,"ఇంటికి సుఖము, సంపద వస్తాయి",ಮನೆಗೆ ಸುಖ ಮತ್ತು ಸಮೃದ್ಧಿ ಬರುತ್ತದೆ,വീട്ടിൽ സുഖവും സമൃദ്ധിയും വരുന്നു,,NA
