site_id,name,slug,region,state,primary_deity,domain,geo_scope,city_id,file
TMP-0001,Adi Kailash,adi-kailash,"Kumaon, Pithoragarh district",Uttarakhand,shiva,religious,india,,adi-kailash.mdx
TMP-0002,"Ahoi Mata Temple, Radha Kund",ahoi-mata-temple-radha-kund,"Radha Kund, Mathura district",Uttar Pradesh,ahoi,religious,india,CTY-004,ahoi-mata-temple-radha-kund.mdx
TMP-0003,"Swaminarayan Akshardham, Delhi",akshardham-delhi,New Delhi,Delhi,swaminarayan,religious,india,,akshardham-delhi.mdx
TMP-0004,"Swaminarayan Akshardham, Gandhinagar",akshardham-gandhinagar,Gandhinagar,Gujarat,swaminarayan,religious,india,,akshardham-gandhinagar.mdx
TMP-0005,Alangudi Guru Temple (Navagraha: Guru Sthalam),alangudi-guru-temple,"Alangudi, Thiruvarur district",Tamil Nadu,brihaspati,religious,india,,alangudi-guru-temple.mdx
TMP-0006,"Alopi Devi Temple, Prayagraj",alopi-devi-prayagraj,"Alopibagh, near the Sangam",Uttar Pradesh,devi,religious,india,CTY-011,alopi-devi-prayagraj.mdx
TMP-0007,Amarnath Cave Temple,amarnath,Anantnag district,Jammu and Kashmir,shiva,religious,india,,amarnath.mdx
TMP-0008,Ambaji Temple,ambaji,"Arasur Hills, Banaskantha district",Gujarat,durga,religious,india,,ambaji.mdx
TMP-0009,"Ambika Shaktipeeth, Bharatpur",ambika-bharatpur,"Virat Nagar village, near Bharatpur/Alwar",Rajasthan,durga,religious,india,,ambika-bharatpur.mdx
TMP-0010,"Annapurna Devi Mandir, Varanasi",annapurna-devi-varanasi,"Visheshwarganj, Varanasi, adjacent to Kashi Vishwanath",Uttar Pradesh,annapurna,religious,india,CTY-001,annapurna-devi-varanasi.mdx
TMP-0011,The Ashtavinayak: Eight Sacred Ganesha Temples of Maharashtra,ashtavinayak-ganesha-temples,"Pune, Raigad, and Ahmednagar districts",Maharashtra,ganesha,religious,india,,ashtavinayak-ganesha-temples.mdx
TMP-0012,Attahas Temple,attahas,Birbhum district,West Bengal,devi,religious,india,,attahas.mdx
TMP-0013,Aundha Nagnath Temple,aundha-nagnath,"Aundha Nagnath, Hingoli district",Maharashtra,shiva,religious,india,,aundha-nagnath.mdx
TMP-0014,Ayodhya,ayodhya,Ayodhya district,Uttar Pradesh,rama,religious,india,CTY-002,ayodhya.mdx
TMP-0015,Badrinath Temple,badrinath,Chamoli district,Uttarakhand,vishnu,religious,india,,badrinath.mdx
TMP-0016,"Baglamukhi Temple, Nalkheda",baglamukhi-nalkheda,"Nalkheda, Agar Malwa district",Madhya Pradesh,devi,religious,india,,baglamukhi-nalkheda.mdx
TMP-0017,Bahula Temple,bahula,Purba Bardhaman district,West Bengal,devi,religious,india,,bahula.mdx
TMP-0018,"Baijnath Temple, Kangra",baijnath-himachal,"Kangra valley, Kangra district",Himachal Pradesh,shiva,religious,india,,baijnath-himachal.mdx
TMP-0019,Bakreshwar Temple,bakreshwar,"Birbhum district, on the Paaphra river",West Bengal,durga,religious,india,,bakreshwar.mdx
TMP-0020,"Ballaleshwar Temple, Pali (Ashtavinayak)",ballaleshwar-pali,"Pali, Raigad district",Maharashtra,ganesha,religious,india,,ballaleshwar-pali.mdx
TMP-0021,Banke Bihari Temple,banke-bihari,Vrindavan,Uttar Pradesh,krishna,religious,india,CTY-003,banke-bihari.mdx
TMP-0022,"Bargabhima Temple, Tamluk",bargabhima-tamluk,"Tamluk, Purba Medinipur district",West Bengal,kali,religious,india,,bargabhima-tamluk.mdx
